,p50,p90,p99,mean
vllm@1r,1.3435481766213222,1.5324766662097111,1.6050484317211973,1.3750464440572738
vllm@2r,1.2681125661461654,1.3406991204524685,1.3849782428196409,1.283031365737466
vllm@3r,1.2491297826213597,1.2963681906693443,1.3261378897716791,1.2643359455789662
orca@1r,1.3307472273103649,1.5021162924623477,1.559629415426355,1.3617761175348642
orca@2r,1.2695410930670208,1.3299620898712357,1.3664051602108542,1.2781643311829674
orca@3r,1.2473336276304252,1.2879065668271426,1.3150199624552654,1.2613400122214624
sarathi@1r,1.3384554248247804,1.5101801857327528,1.5572619111192705,1.3666422363167272
sarathi@2r,1.278982803374629,1.336897497116468,1.3671204004603483,1.2823457484203882
sarathi@3r,1.2491297826213597,1.288806365096624,1.3185049987102202,1.2645522803679041
llumlet@1r,1.3351819006351295,1.507384830320018,1.5596721799413122,1.364554199282577
llumlet@2r,1.2726133022443953,1.3295578391005718,1.368793459390503,1.2808300698445507
llumlet@3r,1.2491297826213597,1.2902165990446608,1.3174864187672652,1.2631299291469023
